  File "get_data.py", line 25
    da={}
        ^
TabError: inconsistent use of tabs and spaces in indentation
第441组失败	当前进度441/1806	 成功: 108 	 失败: 332
第442组失败	当前进度442/1806	 成功: 108 	 失败: 333
第443组失败	当前进度443/1806	 成功: 108 	 失败: 334
第444组失败	当前进度444/1806	 成功: 108 	 失败: 335
第445组失败	当前进度445/1806	 成功: 108 	 失败: 336
第446组失败	当前进度446/1806	 成功: 108 	 失败: 337
第447组失败	当前进度447/1806	 成功: 108 	 失败: 338
第448组失败	当前进度448/1806	 成功: 108 	 失败: 339
第449组失败	当前进度449/1806	 成功: 108 	 失败: 340
第450组失败	当前进度450/1806	 成功: 108 	 失败: 341
第451组失败	当前进度451/1806	 成功: 108 	 失败: 342
第452组失败	当前进度452/1806	 成功: 108 	 失败: 343
第453组失败	当前进度453/1806	 成功: 108 	 失败: 344
第454组失败	当前进度454/1806	 成功: 108 	 失败: 345
第455组失败	当前进度455/1806	 成功: 108 	 失败: 346
第456组失败	当前进度456/1806	 成功: 108 	 失败: 347
第457组失败	当前进度457/1806	 成功: 108 	 失败: 348
第458组失败	当前进度458/1806	 成功: 108 	 失败: 349
第459组失败	当前进度459/1806	 成功: 108 	 失败: 350
